id,Nom,Adresse1,Adresse2,Adresse3,Code Postal,Commune,Code inse,Téléphone,Téléphone international,Mél,Site Web (URL),Fax,Fax international,Descriptif court (Standard),Classement HOT,Chaines,Longitude,Latitude,Altitude,Géolocalisation validée,,,,,,,,,,,,,,,
122816,Le Grand Hôtel,28 avenue Général de Gaulle,,,84600,Valréas,84138,04 90 35 00 26,+334 90 35 00 26,grandhotelvalreas@wanadoo.fr,http://legrandhotelvalreas.fr,04 90 35 60 93,+334 90 35 60 93,"Hôtel situé en centre ville, grand parc, piscine, garage fermé à deux pas du coeur historique.",2 étoiles,,4.987471,44.382996,,1,,,,,,,,,,,,,,,
127158,Refuge du Col de Cabre,,,,5140,La Beaume,5019,04 75 21 41 95,+334 75 21 41 95,florence.marchis@orange.fr, , , ,"A la frontière de la Drôme et des Hautes Alpes, à 1180 m. d'altitude, aux abords d'une forêt, à deux pas d'un GR, auberge de campagne pour les amoureux de la nature, les randonneurs...calme garanti.",Non Classé NN 2009,,5.598264,44.549622,,1,,,,,,,,,,,,,,,
168509,Hôtel du Lez,"16, Cours de la République",,,84500,Bollène,84019,06 84 20 62 57,+336 84 20 62 57,hotel-du-lez@orange.fr, ,04 90 40 09 92,+334 90 40 09 92,"En centre ville, Didier et Anna sont heureux de vous accueillir en toute convivialité et simplicité sous les couleurs de la Provence. Vous apprécierez le confort de leurs chambres rénovées avec vue sur la collégiale Saint Martin.",2 étoiles,,4.750872,44.281598,,1,,,,,,,,,,,,,,,
212437,Hôtel Burrhus,1 place Montfort,,,84110,Vaison-la-Romaine,84137,04 90 36 00 11,+334 90 36 00 11,info@burrhus.com,http://www.burrhus.com, , ,"Situé au cœur de Vaison-la-Romaine, cet hôtel ancien, entièrement rénové joue la carte du design et de l’art contemporain.",3 étoiles,,5.075198,44.240968,,1,,,,,,,,,,,,,,,
226089,Auberge de l'Impossible,43 Avenue de Savoie,,,5100,Briançon,5023,07 81 64 61 21,+337 81 64 61 21,contact.aubergeimpossible@gmail.com,http://www.auberge-impossible.fr, , ,"Composée de 10 chambres confortables, décorées dans un esprit montagne, l'Auberge de l'Impossible, vous accueille à l'année.",,,6.623979,44.911933,1326,1,,,,,,,,,,,,,,,
226241,Chalet-hôtel du Gioberney,Le Gioberney,,,5800,La Chapelle-en-Valgaudemar,5064,04 92 55 27 50,+334 92 55 27 50,franck.vigneaux@orange.fr,http://www.refuge-du-gioberney.com, , ,"Situé en pleine nature, au coeur du Parc national des Ecrins et au départ de nombreuses randonnées, le Chalet-hôtel du Gioberney vous accueille dans ce havre de paix avec une vue spectaculaire sur les Rouies, le Sirac et la cascade du Voile de la Mariée.",Non Classé NN 2009,,6.281315,44.841013,1645,1,,,,,,,,,,,,,,,
226362,Auberge des Ecrins,,Les Borels,,5260,Champoléon,5032,04 92 51 76 89,+334 92 51 76 89,info@aubergedesecrins.com,http://www.aubergedesecrins.com, , ,"L'Auberge des Écrins vous réserve un accueil chaleureux et convivial, dans un style résolument moderne contrastant avec l'authenticité de la vallée de Champoléon. Elle se situe sur le domaine nordique et à deux pas des stations de ski.",Non Classé NN 2009,,6.260008,44.720107,1300,1,,,,,,,,,,,,,,,
226363,Auberge Le Vieux Chaillol,,,Chaillol Chef-lieu,5260,Saint-Michel-de-Chaillol,5153,04 92 50 48 35,+334 92 50 48 35,contact@levieuxchaillol.com,http://www.levieuxchaillol.com/, , ,"Dans une bâtisse de caractère, au cœur du village situé au pied du Vieux Chaillol, l'auberge et sa grande terrasse plein sud vous accueille au calme, dans une ambiance familiale, où vous pourrez admirez la vue sur le Champsaur et le Dévoluy.",Non Classé NN 2009,,6.167632,44.682042,1450,1,,,,,,,,,,,,,,,
226364,Auberge La Cleida,,,Plampinet,5100,Névache,5093,06 88 88 12 27,+336 88 88 12 27,martine.cleida@wanadoo.fr, , , ,"Vous aimez la simplicité, le confort, un cadre typique montagne dans une ancienne caserne militaire. Alors nous vous accueillons avec une cuisine maison et régionale, le tout dans une ambiance familiale.",Sans étoile,,6.66133,45.003822,1560,1,,,,,,,,,,,,,,,
226563,Best Western Hôtel,"8, avenue de Provence","GPS : 1, avenue François Mitterand",,5000,Gap,5061,04 92 52 17 57,+334 92 52 17 57,gap@maranathahotels.com,"https://www.bestwestern.fr/recherche-ville/hotel-Gap,61065",04 92 50 38 68,+334 92 50 38 68,"Profitez pleinement des Alpes du sud et de Gap, Capitale Douce, en séjournant au BEST WESTERN Hotel Gap*** !",3 étoiles,,6.05698,44.540481,735,1,,,,,,,,,,,,,,,
226603,Chalet Hôtel d'Ailefroide,Ailefroide,,Pelvoux,5340,Vallouise-Pelvoux,5101,06 77 96 36 55,+336 77 96 36 55,contact@chalethotel-ailefroide.com,http://www.chalethotel-ailefroide.com, , ,"Le Chalet Hôtel d'Ailefroide, est un hôtel-restaurant situé dans un site naturel classé depuis 1911, aux portes du Parc national des Ecrins sur la commune de Pelvoux dans les Hautes-Alpes 05, région Provence Alpes Côte d'Azur.",,,6.446385,44.887149,1560,1,,,,,,,,,,,,,,,
226632,Hôtel Glaizette,32 Rue de la république,,,5120,L'Argentière-la-Bessée,5006,04 92 23 10 05,+334 92 23 10 05,hotel.glaizette@orange.fr,http://www.hotelglaizette.fr, , ,"Hôtel en centre ville, à proximité des commerces.  Votre aventure en montagne commence ici. Chambres confortables, bien équipées avec salle de bain privatives. Restauration sur place.",Non Classé NN 2009,,6.559107,44.794819,,1,,,,,,,,,,,,,,,
226636,Hôtel Ibis,5/7 boulevard Georges Pompidou,,,5000,Gap,5061,04 92 53 57 57,+334 92 53 57 57,ibisgap@wanadoo.fr,https://www.accorhotels.com/fr/hotel-1120-ibis-gap/index.shtml,04 92 53 38 15,+334 92 53 38 15,L'hôtel Ibis Gap est en centre ville et facilite ainsi vos déplacements dans cette capitale douce. Garage souterrain privé (offert aux motos).,3 étoiles,,6.084441,44.559492,735,1,,,,,,,,,,,,,,,
226638,Avantici Citotel Gap,5 chemin des Matins Calmes,,,5000,Gap,5061,04 92 51 57 82,+334 92 51 57 82,contact@avantici-citotel.com,http://www.avantici-citotel.com, , ,"Situé sur la RN85; la fameuse Route Napoléon; proche du centre-ville, à 15 min de l’Aérodrome de Tallard et du Golf Bayard, l’AVANTICI vous accueille dans ses 28 chambres spacieuses, confortables et toutes équipées, où calme et convivialité demeurent !",3 étoiles,,6.057843,44.540825,735,1,,,,,,,,,,,,,,,
226641,Hôtel L'Aiguille,Station,Rue du Plein vert,,5500,Laye,5072,04 92 50 50 62,+334 92 50 50 62,aiguillehotel@gmail.com,http://www.aiguillehotel.com, , ,"Petit hôtel chalet au pied des pistes (départ skis aux pieds), famille ou individuel trouveront des chambres mansardées dont les grands velux offrent une vue imprenable sur les sommets. Toutes les chambres disposent de leurs sanitaires privés, TV et Wifi.",Non Classé NN 2009,,6.073029,44.643194,1300,1,,,,,,,,,,,,,,,
226643,Hôtel le mas d'estello,Lieu dit Le Pied de La Plaine,RN 85,,5130,Tallard,5170,04 92 54 13 22,+334 92 54 13 22,contact@lemasdestello.fr,http://www.lemasdestello.fr, , ,"Positionné au coeur d'un carrefour dynamique, à la porte sud du département, les activités y sont multiples au fil des saisons...Situé au pied de l'aérodrome de Gap-Tallard, à 1 heure des stations de ski des Hautes-Alpes et de la vallée de l'Ubaye,",3 étoiles,,6.031065,44.446067,604,1,,,,,,,,,,,,,,,
226653,Hôtel Edelweiss,32 Avenue de la République,,,5100,Briançon,5023,04 92 21 02 94,+334 92 21 02 94,contact@hotel-edelweiss-briancon.fr,http://www.hotel-edelweiss-briancon.fr,04 92 21 22 55,+334 92 21 22 55,Hôtel ** de charme alliant tout le confort moderne avec le charme ancien. Situé idéalement entre la ville historique et les pistes de ski. Vous profiterez de la vue sur la montagne du Prorel depuis votre chambre avec balcon ou du parc de l'hôtel.,2 étoiles,,6.638748,44.898049,1326,1,,,,,,,,,,,,,,,
226657,Hôtel F1.COM,1 Rue de Tokoro,Lieu-dit Plan de Gap,,5000,Gap,5061,08 91 70 52 53,+338 91 70 52 53,h2374-re@accor.com,http://www.hotelf1.com/fr/home/index.shtml,04 92 53 57 56,+334 92 53 57 56,"hotelF1 Gap, payez moins bougez plus ! A 750 m d'altitude, entre Ecrins et Provence, partez à la découverte d'un univers préservé où le soleil brille 300 jours par an !",,,6.101505,44.566874,750,1,,,,,,,,,,,,,,,
226659,Hôtel Fifi Moulin,15 rue Varanfrain,,,5700,Serres,5166,04 92 67 00 01,+334 92 67 00 01,hotel.fifi.moulin@orange.fr,http://hotel-fifimoulin.fr, , ,"Hôtel de tradition situé en bordure du village médiéval. 10 chambres dont 2 chambres familiales et un studio meublé. Vue imprenable, établissement calme et ensoleillé.",3 étoiles,,5.715008,44.428131,670,1,,,,,,,,,,,,,,,
226663,Hôtel Gapotel,18 avenue Emile Didier,,,5000,Gap,5061,04 92 52 37 37,+334 92 52 37 37,gapotel@wanadoo.fr,http://www.gaphotel.fr, , ,"Idéalement situé à moins d'1 km du centre-ville et 600 m de la gare SNCF, Gapotel dispose d'une piscine extérieure. Proche du lac de Serre-Ponçon et des vallées du  Champsaur et  Valgaudemar vous serez au calme pour profiter de toutes vos sorties.",3 étoiles,,6.091283,44.564517,735,1,,,,,,,,,,,,,,,
226667,Hôtel de La Gare,48 Avenue Charles de Gaulle,,,5120,L'Argentière-la-Bessée,5006,07 60 61 60 25,+337 60 61 60 25,hoteldelagareecrins@orange.fr, , , ,Hôtel-Restaurant ouvert à l'année avec terrasse ensoleillée tout proche de la gare SNCF et de l'arrêt des cars et navettes.,Non Classé NN 2009,,6.557345,44.790883,1035,1,,,,,,,,,,,,,,,
226672,Hôtel La Neyrette***,Saint-Disdier,,,5250,Le Dévoluy,5139,04 92 58 81 17,+334 92 58 81 17,info@la-neyrette.com,http://www.la-neyrette.com, , ,Fermeture annuelle du 14 octobre au 25 décembre 2018.,3 étoiles,,5.897821,44.730041,1000,1,,,,,,,,,,,,,,,
226676,Hôtel La Pendine,Les Prés,,,5290,Puy-Saint-Vincent,5110,04 92 23 32 62,+334 92 23 32 62,contact@lapendine.com,http://www.lapendine.com,04 92 23 46 63,+334 92 23 46 63,"Dans un décor montagnard et une ambiance familiale : 25 chambres tout confort (4 communiquantes). Bar, restaurant, cuisine traditionnelle soignée, terrasse, jardin, sauna/jacuzzi.",,,6.499492,44.826354,1400,1,,,,,,,,,,,,,,,
226679,Hôtel La Pastorale,Hameau des Brès,,,5230,La Bâtie-Neuve,5017,06 83 07 14 76,+336 83 07 14 76,la-pastorale@wanadoo.fr,http://www.lapastorale.net,04 92 50 21 14,+334 92 50 21 14,"En pleine nature, cette ancienne bâtisse du XVI ème siècle deviendra le camp de base de vos activités. Inscrit au guide des Hôtels de charme en France.",En cours de classement,,6.23765,44.571336,1000,1,,,,,,,,,,,,,,,
226682,Hôtel L'Edelweiss,Rière Pont,,Vallouise,5340,Vallouise-Pelvoux,5101,06 60 90 01 54,+336 60 90 01 54,hotel.vallouise@gmail.com,http://www.hotel-edelweiss-vallouise.com/, , ,"Dans une ambiance familiale, au coeur du Pays des Écrins, l'Edelweiss vous propose 10 chambres chaleureuses et joliment décorées. Vous avez à disposition un grand jardin au calme avec une vue imprenable sur le massif des Écrins.",,,6.49063,44.845597,1160,1,,,,,,,,,,,,,,,
226684,La Bagatelle,Station,,,5260,Saint-Michel-de-Chaillol,5153,06 18 15 46 89,+336 18 15 46 89,info@hotel-labagatelle.com,http://www.hotel-labagatelle.fr, , ,"Depuis 1974, notre hôtel-restaurant vous propose des chambres tout confort pour 2, 3 et 4 personnes, au pied des pistes de ski, l'hiver, et au départ de nombreuses randonnées, l'été. Cuisine traditionnelle et soignée avec des spécialités du Champsaur.",Non Classé NN 2009,,6.165975,44.689426,1600,1,,,,,,,,,,,,,,,
226687,Hôtel L'Escale Blanche,Centre station,Les Orres 1650,,5200,Les Orres,5098,04 92 44 07 00,+334 92 44 07 00,contact@lana-vacances.com,http://www.escaleblanche.fr,04 92 44 05 36,+334 92 44 05 36,"Notre hôtel L'Escale Blanche de 37 chambres bénéficie d'une superbe exposition, il est situé au cœur de la station des Orres 1650",3 étoiles,,6.556553,44.493391,1650,1,,,,,,,,,,,,,,,
226692,La Crémaillère,"4, route de La Motte",,,5500,Saint-Bonnet-en-Champsaur,5132,04 92 50 00 60,+334 92 50 00 60,contact@cremaillere.eu,http://cremaillere.eu, , ,"A 300 m du village de Saint Bonnet, dans un vaste parc arboré, la Crémaillère vous accueille chaleureusement avec ses grandes chambres confortables, son restaurant avec des plats préparés 'maison', sa terrasse avec vue directe sur les montagnes.",2 étoiles,,6.076802,44.685216,1050,1,,,,,,,,,,,,,,,
226699,Hôtel le cap,Aéropole Gap Tallard,Rue Charles Nungesser,,5130,Tallard,5170,04 92 54 05 05,+334 92 54 05 05,info@lecapresort.com,http://www.lecapresort.com,04 92 54 05 06,+334 92 54 05 06,"Un espace où vous pourrez tout à loisir respirer, souffler, goûter l'instant, vous détendre... Chambres tout confort, piscine chauffée, sauna, bar-lounge... A proximité de l'aérodrome où tous les loisirs aériens sont possibles. Venez prendre l'air...!",3 étoiles,,6.036386,44.459423,600,1,,,,,,,,,,,,,,,
226714,La Trinité,Route Napoléon,La Trinité,,5800,Saint-Firmin,5142,06 08 95 99 11,+336 08 95 99 11,latrinite05800@orange.fr, , , ,"Notre hôtel-restaurant avec ses dix chambres, vous accueille, à l'entrée de la vallée du Valgaudemar. Profitez d'une halte en toute simplicité avec un accueil sympathique et chaleureux sur la Route Napoléon, au milieu des montagnes.",Non Classé NN 2009,,6.004157,44.77821,900,1,,,,,,,,,,,,,,,
226716,Hôtel La Souloise**,Saint-Etienne-en-Dévoluy,,,5250,Le Dévoluy,5139,06 81 49 19 75,+336 81 49 19 75,lasouloise@wanadoo.fr,http://www.lasouloise.com, , ,"L'hôtel est situé au cœur du village de Saint Etienne en Dévoluy. 

L'hôtel vous propose également un bar et un restaurant avec terrasse face au Pic de Bure.

FERMETURE ANNUELLE : du 15 octobre après le service de midi au 4 novembre 2018 inclus.",2 étoiles,,5.941007,44.693038,1275,1,,,,,,,,,,,,,,,
226719,Le Bercail,,,Chauffayer,5800,Aubessagne,5039,04 92 55 22 21,+334 92 55 22 21,snc.charpentier@wanadoo.fr,http://www.bercail-hautes-alpes.com, , ,"Sur la Route Napoléon, dans un petit village, le Bercail offre une étape dans le calme et la nature, avec des chambres tout confort pour passer un agréable séjour. Le restaurant vous invite à découvrir ses menus terroir et gastronomique.",Non Classé NN 2009,,6.006646,44.757598,915,1,,,,,,,,,,,,,,,
226724,Le Ban de l'Ours,Lubac,,,5800,Saint-Maurice-en-Valgaudemar,5152,04 92 55 23 65,+334 92 55 23 65,infos@hotelbandelours.com,http://www.hotelbandelours.com,04 92 55 35 24,+334 92 55 35 24,"Frédérique et Thierry, natifs du pays, vous accueillent et vous proposent une cuisine traditionnelle et familiale et pourront vous donner de précieux conseils sur les randonnées. Toutes les chambres sont équipées de douche/WC ou bain/WC privatif et TV.",,,6.110512,44.803482,1000,1,,,,,,,,,,,,,,,
226727,Le Pascarel,,La Garenne,,5260,Saint-Jean-Saint-Nicolas,5145,04 92 24 26 92,+334 92 24 26 92,lepascarel@orange.fr,http://www.hotelrestaurant-lepascarel.com, , ,"A deux kilomètres du village de Pont du Fossé, Rebecca vous accueille à l’hôtel Le Pascarel, un établissement à caractère familial qui vous propose tous types de séjour. Idéal pour rayonner sur toutes les activités proposées été comme hiver.",Non Classé NN 2009,,6.206947,44.658546,1100,1,,,,,,,,,,,,,,,
226731,Nestor Hôtel,Rue de Belle Aureillle,Micropolis,,5000,Gap,5061,04 92 52 45 84,+334 92 52 45 84,hotel-prevert@orange.fr,http://www.hotel-prevert.com,04 92 52 06 91,+334 92 52 06 91,"Idéalement situé sur la célèbre route Napoléon à Gap, près des stations de ski du parc national des Écrins et du lac de Serre Ponçon. Il propose des chambres confortables, et dispose d'un bar restaurant ouvert tous les jours. Wi-Fi, et parking gratuits.",En cours de classement,,6.053638,44.536348,735,1,,,,,,,,,,,,,,,
226738,Hôtel Le Relais De Merlette,Les Veyers,,,5170,Orcières,5096,04 92 55 70 08,+334 92 55 70 08,lerelaisdemerlette@gmail.com, ,04 92 55 70 25,+334 92 55 70 25,"Un bâtiment Bar/Restaurant, un bâtiment Hôtel avec 14 chambres 2/4 pers.
A 1,5 km de la station.
Chambres calmes et ensolleillées, terrasse.
Exposition sud. Cuisine et ambiance familiale.
Spécialités de pays.
Arrêt bus gratuit vers station en saison.",Non Classé NN 2009,,6.322749,44.691495,1660,1,,,,,,,,,,,,,,,
226743,Hôtel Le Pavillon,27 route de Chabanas,,,5000,Gap,5061,04 92 52 02 73,+334 92 52 02 73,pavillon.carina@wanadoo.fr,http://www.carina-hotel.com,04 92 53 34 72,+334 92 53 34 72,"L’hôtel LOGIS PAVILLON* au milieu de son parc (avec mini-golf, tennis, aire de jeux et grande terrasse ombragée) est l’endroit idéal pour un séjour ensoleillé où Calme, Repos et Détente seront vos maîtres mots.",1 étoile,,6.063781,44.557043,735,1,,,,,,,,,,,,,,,
226748,Le Connétable,Place du  Champ de Foire,,,5500,Saint-Bonnet-en-Champsaur,5132,04 92 49 00 62,+334 92 49 00 62,hotelleconnetable@orange.fr,http://www.hotel-le-connetable.com, , ,"Hôtel-restaurant situé au coeur du village de St Bonnet-en-Champsaur. Il dispose de 13 chambres de 2 à 5 couchages, d'une terrasse avec vue panoramique.",2 étoiles,,6.07767,44.682004,1000,1,,,,,,,,,,,,,,,
226753,Le Chamois,Rue de la Condamine,,,5260,Ancelle,5004,04 92 50 80 77,+334 92 50 80 77,lechamois05@gmail.com,http://www.chamois-ancelle.com, , ,"Au cœur du village d'Ancelle, Le Chamois vous accueille dans une ambiance familiale et chaleureuse. Chambres confortables pour 2, 3, 4 ou 5 personnes et cuisine de terroir accompagnent un savoir-faire transmis de génération en génération.",Non Classé NN 2009,,6.206755,44.623743,1350,1,,,,,,,,,,,,,,,
226755,Hôtel Le Michelet,"2, avenue de la Gare",,,5000,Gap,5061,04 92 51 27 86,+334 92 51 27 86,hotel.lemichelet@orange.fr,http://www.hotel-lemichelet-gap.fr/,04 92 51 51 01,+334 92 51 51 01,"Hôtel idéalement situé en face de la gare et à proximité du centre-ville. Snack. 9 Chambres doubles (1 lit double/2 personnes), 1 chambre twin : (2 lits simples/2 pers.) et 1 Chambre familiale : (2 lits/ 2 ad. + 2 enfants). Garage moto et vélo gratuit.",2 étoiles,,6.086039,44.56331,735,1,,,,,,,,,,,,,,,
226766,Château des Herbeys,Route Napoléon,Les Herbeys,Chauffayer,5800,Aubessagne,5039,07 85 82 79 85,+337 85 82 79 85,delas.gilbert@orange.fr,http://www.hotel-restaurant-chauffayer.fr/, , ,"Château du XIIIe siècle situé dans un parc aux tilleuls bicentenaires où ont logé, en 1629, Louis XIII et Richelieu. Chambres de rêve spacieuses dont 6 avec balnéothérapie.Restaurant gastronomique.",3 étoiles,,6.018706,44.767425,1000,1,,,,,,,,,,,,,,,
226769,Hôtel Restaurant Spa Ax'Hôtel,ZA La Grande Ile Nord,,,5230,Chorges,5040,04 92 21 45 17,+334 92 21 45 17,reception@ax-hotel.com,http://www.ax-hotel.com, , ,Ax’Hôtel *** Restaurant & Spa pour un séjour bien-être inoubliable au cœur des Hautes-Alpes.,3 étoiles,,6.258458,44.553439,,1,,,,,,,,,,,,,,,
226785,Le Mont Olan,,,,5800,La Chapelle-en-Valgaudemar,5064,04 92 55 23 03,+334 92 55 23 03,hotel@mont-olan.fr,http://www.mont-olan.fr, , ,"Etienne Perier et son équipe vous accueillent dans ce bel établissement emblématique du Valgaudemar. Chaleureux et authentique, avec sa cuisine traditionnelle, tout est réuni pour passer un bon séjour autour d'un bon repas.",2 étoiles,,6.194674,44.81674,1050,1,,,,,,,,,,,,,,,
226787,Hôtel des Gorges de la Méouge,11 Rue des Gorges de la Méouge,Place du Village,,5300,Barret-sur-Méouge,5014,06 89 57 58 55,+336 89 57 58 55,aubergedelameouge@orange.fr,http://aubergedelameouge.e-monsite.com, , ,"Hôtel situé dans un village des Gorges de la Méouge, à 20 km de Sisteron. Le chef vous propose une cuisine authentique et créative. Restaurant spécialisé dans les dîners lyriques.",2 étoiles,,5.646064,44.257311,600,1,,,,,,,,,,,,,,,
226791,Hôtel de Paris,41 Avenue du Général de Gaulle,,,5100,Briançon,5023,04 92 49 97 50,+334 92 49 97 50, , , , ,,2 étoiles,,6.633941,44.89174,1326,1,,,,,,,,,,,,,,,
226794,Hôtel de la Gare,Place du Village,,Eyguians,5300,Garde-Colombe,5053,04 92 52 77 59,+334 92 52 77 59,pierrot.ribotta@orange.fr, ,04 92 52 79 43,+334 92 52 79 43,"Proche des commerces et du plan d'eau du Riou, cet hôtel traditionnel saura vous accueillir avec convivialité. Il dispose de 5 chambres neuves tout confort, avec télévision, prise Wifi, salle de bain et wc dans chaque chambre.",,,5.770762,44.34644,597,1,,,,,,,,,,,,,,,
226795,Hôtel d'Izoard,"92, le Chef Lieu-Cervières",,,5100,Cervières,5027,04 92 21 06 49,+334 92 21 06 49,contact@hoteldizoard.com,http://www.hoteldizoard.com, , ,"Notre hôtel convivial vous accueille toute l'année. Nous concoctons pour vous une cuisine de terroir saine et raffinée, principalement à base de produits locaux et bio.",Non Classé NN 2009,,6.721612,44.868783,,1,,,,,,,,,,,,,,,
226801,Auberge Saint Antoine,Saint Antoine,,Pelvoux,5340,Vallouise-Pelvoux,5101,06 19 36 46 93,+336 19 36 46 93,macouphilippe@gmail.com, , , ,"Cathy et Philippe, les nouveaux propriétaires, sont heureux de vous accueillir dans une ambiance chaleureuse, montagnarde et familiale.",Non Classé NN 2009,,6.486766,44.869175,1250,1,,,,,,,,,,,,,,,
226803,Hôtel Le Rochasson,Gaudissard Haut,,,5600,Risoul,5119,06 10 87 26 21,+336 10 87 26 21,le-rochasson@orange.fr,http://www.rochasson-risoul.com,04 92 45 02 26,+334 92 45 02 26,"L'Auberge du Rochasson dans les Hautes-Alpes,est nichée à flanc de montagne, à l'écart de la route, surplombant la vallée de la Durance à mi-chemin entre Guillestre et la station de Risoul 1850.",Non Classé NN 2009,,6.635851,44.642322,1280,1,,,,,,,,,,,,,,,
226805,Les Autanes,Place de village,,,5260,Ancelle,5004,04 92 50 82 82,+334 92 50 82 82,resa@hotel-les-autanes.com,http://www.hotel-les-autanes.com/, , ,"Depuis 1950, l'Hôtel-restaurant-spa 'Les Autanes' est une adresse reconnue. Restaurant confirmé par trois cocottes aux Logis de France, son chef M. Laurent Roca, Maître Restaurateur, vous propose une authentique cuisine gourmande et de terroir.",3 étoiles,,6.205837,44.624053,1350,1,,,,,,,,,,,,,,,
